[属性描述]
格式版本号=1.01版本
数据生产单位=大连市勘察测绘研究院有限公司
数据生产日期=2020-08-25
坐标系=2000国家大地坐标系
几度分带=3
投影类型=高斯克吕格
计量单位=米
带号=41
精度=20
转换参数=,,,,,,
[地块坐标]
12,6.00448570544,JZJW1J0502,金普新区金州湾片区1单元JZJW1J0502地块,面,J51G022027,,,@
J01,1,4332299.58239,41386205.1218
J02,1,4332299.58239,41386205.1218
J03,1,4332291.68346,41386031.0508
J04,1,4332307.97222,41386015.425
J05,1,4332359.67992,41386019.5428
J06,1,4332411.44305,41386022.8924
J07,1,4332463.25021,41386025.4731
J08,1,4332515.08998,41386027.2844
J09,1,4332566.95092,41386028.3258
J10,1,4332618.82161,41386028.5971
J11,1,4332628.54008,41386209.4501
J01,1,4332299.58239,41386205.1218
